p=0 | CubeHexMesh: Building sub cells
[MetricOpStats] ParamMass_M  (rows=4760)
  row_sum       min=4.0404e-07  max=0.00198  mean=0.000659429  max/|min|=4900.5
  |row_sum|     min=4.0404e-07  max=0.00198  mean=0.000659429  max/min=4900.5
  diag          min=1.79574e-07  max=0.00088  mean=0.000293079  nonpos=0
  max_abs_entry=0.00088
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=7.08644e-16 e[2]=0 e[3]=0 e[4]=0 e[5]=1.25089e-16 e[6]=2.39689e-16 e[7]=0 e[8]=0 e[9]=6.0082e-16 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check: max_primal_err=0 max_dual_err=7.08644e-16 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  54    3.144931e-17   2.369716e-03   3.007424e-14   1.000000e+00   125       55        1         0         
  55    2.921155e-17   8.139368e-04   9.895952e-15   1.000000e+00   127       56        1         0         
  56    2.849076e-17   6.067841e-04   5.240541e-15   1.000000e+00   129       57        1         0         
  57    2.762383e-17   7.215097e-04   1.026584e-14   1.000000e+00   131       58        1         0         
  58    2.692586e-17   1.811161e-03   2.057386e-14   1.000000e+00   133       59        1         0         
  59    2.566045e-17   8.315183e-04   8.301121e-15   1.000000e+00   135       60        1         0         
  60    2.482486e-17   5.545861e-04   1.039646e-14   1.000000e+00   137       61        1         0         
  61    2.419968e-17   6.186525e-04   1.079979e-14   1.000000e+00   139       62        1         0         
  62    2.305176e-17   6.994118e-04   1.881536e-14   1.000000e+00   141       63        1         0         
  63    2.253312e-17   1.178095e-03   1.713576e-14   4.235656e-01   144       64        2         0         
  64    2.171366e-17   4.777045e-04   9.804013e-15   1.000000e+00   146       65        1         0         
  65    2.134404e-17   4.458450e-04   5.699957e-15   1.000000e+00   148       66        1         0         
  66    2.081518e-17   5.403639e-04   9.533605e-15   1.000000e+00   150       67        1         0         
  67    2.069136e-17   1.533221e-03   2.003260e-14   1.000000e+00   152       68        1         0         
  68    1.988893e-17   5.043111e-04   2.652255e-15   1.000000e+00   154       69        1         0         
  69    1.960637e-17   3.997616e-04   4.041571e-15   1.000000e+00   156       70        1         0         
  70    1.919809e-17   5.304666e-04   1.013340e-14   1.000000e+00   158       71        1         0         
  71    1.862305e-17   5.995402e-04   1.474392e-14   1.000000e+00   160       72        1         0         
  72    1.826709e-17   1.134837e-03   1.836475e-14   4.359688e-01   163       73        2         0         
