p=0 | CubeHexMesh: Building sub cells
[MetricOpStats] ParamMass_M  (rows=4760)
  row_sum       min=4.0404e-07  max=0.00198  mean=0.000659429  max/|min|=4900.5
  |row_sum|     min=4.0404e-07  max=0.00198  mean=0.000659429  max/min=4900.5
  diag          min=1.79574e-07  max=0.00088  mean=0.000293079  nonpos=0
  max_abs_entry=0.00088
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=7.08644e-16 e[2]=0 e[3]=0 e[4]=0 e[5]=1.25089e-16 e[6]=2.39689e-16 e[7]=0 e[8]=0 e[9]=6.0082e-16 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check: max_primal_err=0 max_dual_err=7.08644e-16 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  54    3.191479e-17   2.370610e-03   3.007914e-14   1.000000e+00   125       55        1         0         
  55    2.967652e-17   8.137853e-04   9.875179e-15   1.000000e+00   127       56        1         0         
  56    2.895591e-17   6.067376e-04   5.239638e-15   1.000000e+00   129       57        1         0         
  57    2.808900e-17   7.214077e-04   1.026601e-14   1.000000e+00   131       58        1         0         
  58    2.738820e-17   1.808418e-03   2.056009e-14   1.000000e+00   133       59        1         0         
  59    2.612302e-17   8.311668e-04   8.357070e-15   1.000000e+00   135       60        1         0         
  60    2.528693e-17   5.546609e-04   1.041797e-14   1.000000e+00   137       61        1         0         
  61    2.466136e-17   6.184824e-04   1.079720e-14   1.000000e+00   139       62        1         0         
  62    2.351439e-17   7.027597e-04   1.883759e-14   1.000000e+00   141       63        1         0         
  63    2.298769e-17   1.167608e-03   1.721685e-14   4.262759e-01   144       64        2         0         
  64    2.217739e-17   4.764259e-04   9.672212e-15   1.000000e+00   146       65        1         0         
  65    2.180775e-17   4.474935e-04   5.694429e-15   1.000000e+00   148       66        1         0         
  66    2.128154e-17   5.424213e-04   9.476475e-15   1.000000e+00   150       67        1         0         
  67    2.116242e-17   1.539191e-03   2.014811e-14   1.000000e+00   152       68        1         0         
  68    2.035455e-17   5.034171e-04   2.615463e-15   1.000000e+00   154       69        1         0         
  69    2.007404e-17   3.995714e-04   3.997755e-15   1.000000e+00   156       70        1         0         
  70    1.966552e-17   5.304719e-04   1.012190e-14   1.000000e+00   158       71        1         0         
  71    1.909168e-17   6.003734e-04   1.471920e-14   1.000000e+00   160       72        1         0         
  72    1.873441e-17   1.130602e-03   1.835734e-14   4.370337e-01   163       73        2         0         
  73    1.797041e-17   5.664538e-04   1.912244e-14   1.000000e+00   165       74        1         0         
  74    1.746674e-17   4.968728e-04   1.255362e-14   1.000000e+00   167       75        1         0         
  75    1.678386e-17   6.931324e-04   2.020461e-14   1.000000e+00   169       76        1         0         
  76    1.649828e-17   1.493817e-03   2.783281e-14   1.000000e+00   171       77        1         0         
