iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
45,1.07393832e-13,4.34285199e+01,5.20552911e-07,1.54795048e-22,1.30550351e-14,4.04385607e+14,8.43375506e+07,2.33462720e-14,2.42656024e-13,8.67481508e-08,1.03937804e+01,1.00000000e+00,1.00000000e+00
46,9.91689268e-14,4.60421782e+01,4.97351448e-07,8.76202214e-22,1.30714735e-14,4.64280291e+14,1.49183297e+07,4.04112330e-14,2.76186548e-13,1.50167911e-07,6.83440042e+00,1.00000000e+00,1.00000000e+00
47,7.78780821e-14,3.82831653e+01,3.96538669e-07,3.96079520e-22,1.30846799e-14,4.91578173e+14,3.30354872e+07,2.09745854e-13,3.12187147e-13,7.79355915e-07,1.48840676e+00,1.00000000e+00,1.00000000e+00
48,5.41869739e-14,2.56203562e+01,2.73055662e-07,1.11782276e-22,1.30910019e-14,4.72813932e+14,1.17111606e+08,1.07991821e-13,1.82563536e-13,4.01286283e-07,1.69053115e+00,1.00000000e+00,1.00000000e+00
49,5.52282609e-14,2.57060341e+01,2.77161838e-07,2.36681311e-22,1.30898316e-14,4.65450726e+14,5.53057253e+07,3.09095295e-14,1.48087988e-13,1.14857722e-07,4.79101398e+00,1.00000000e+00,1.00000000e+00
50,5.50109494e-14,2.58725660e+01,2.76822330e-07,1.43083076e-22,1.30879138e-14,4.70316660e+14,9.14707326e+07,6.15737701e-14,1.52768570e-13,2.28803432e-07,2.48106571e+00,1.00000000e+00,1.00000000e+00
51,5.57635192e-14,2.64743867e+01,2.81304856e-07,9.99652710e-23,1.30856519e-14,4.74761763e+14,1.30901980e+08,3.72054600e-14,1.54477840e-13,1.38253576e-07,4.15202071e+00,1.00000000e+00,1.00000000e+00
52,5.28700686e-14,2.47549917e+01,2.65738580e-07,8.22684882e-23,1.30825278e-14,4.68223180e+14,1.59022344e+08,2.53114417e-14,1.40447765e-13,9.40550388e-08,5.54878567e+00,1.00000000e+00,1.00000000e+00
53,4.88365056e-14,2.21343223e+01,2.43410809e-07,5.46544639e-23,1.30811841e-14,4.53233131e+14,2.39343379e+08,2.03560388e-14,1.21198005e-13,7.56401782e-08,5.95390915e+00,1.00000000e+00,1.00000000e+00
54,4.82465219e-14,2.26152461e+01,2.42569887e-07,3.96358337e-23,1.30777052e-14,4.68743552e+14,3.29946515e+08,1.34172898e-14,1.34876518e-13,4.98559448e-08,1.00524412e+01,1.00000000e+00,1.00000000e+00
55,4.33175120e-14,1.98472750e+01,2.16504465e-07,4.47434152e-23,1.30728426e-14,4.58181325e+14,2.92173553e+08,9.72232227e-15,1.13622432e-13,3.61251912e-08,1.16867584e+01,1.00000000e+00,1.00000000e+00
56,4.19537135e-14,2.09350719e+01,2.14493543e-07,1.30033196e-22,1.30712139e-14,4.99004026e+14,1.00522131e+08,1.14194195e-14,1.28796335e-13,4.24314727e-08,1.12787112e+01,1.00000000e+00,1.00000000e+00
57,3.41763702e-14,1.66673142e+01,1.73645527e-07,5.75223312e-23,1.30700093e-14,4.87685324e+14,2.27216267e+08,3.56648692e-14,1.06842021e-13,1.32520140e-07,2.99572165e+00,1.00000000e+00,1.00000000e+00
58,3.11546744e-14,1.38884202e+01,1.54630360e-07,5.98855608e-22,1.30706763e-14,4.45789289e+14,2.18260898e+07,1.50973859e-14,7.70700332e-14,5.61020031e-08,5.10485946e+00,1.00000000e+00,1.00000000e+00
59,3.65783563e-14,1.56495879e+01,1.79707327e-07,1.10124931e-22,1.30761794e-14,4.27837373e+14,1.18739502e+08,1.68603137e-13,1.00235762e-13,6.26471752e-07,5.94507100e-01,1.00000000e+00,1.00000000e+00
60,4.35272755e-14,1.65082619e+01,2.07914488e-07,3.27032177e-23,1.30811168e-14,3.79262466e+14,3.99994794e+08,2.85610059e-14,9.35373986e-14,1.06123844e-07,3.27500366e+00,1.00000000e+00,1.00000000e+00
61,3.30670707e-14,1.28690886e+01,1.58870054e-07,4.97761842e-22,1.30898336e-14,3.89181391e+14,2.62973827e+07,8.12757491e-15,6.12047023e-14,3.01993538e-08,7.53049993e+00,1.00000000e+00,1.00000000e+00
62,2.92345378e-14,1.60107327e+01,1.53456714e-07,6.87170365e-23,1.30895714e-14,5.47664987e+14,1.90485097e+08,1.39862562e-13,1.44013809e-13,5.19722650e-07,1.02968090e+00,1.00000000e+00,1.00000000e+00
63,1.94851106e-14,1.11070625e+01,1.03503070e-07,2.86891833e-23,1.30867627e-14,5.70028202e+14,4.56156682e+08,1.58361707e-14,6.33043898e-14,5.88445861e-08,3.99745563e+00,1.00000000e+00,1.00000000e+00
64,1.46574696e-14,8.94888897e+00,7.95249720e-08,1.99896684e-21,1.30861051e-14,6.10534370e+14,6.54643430e+06,6.63686135e-15,5.35309123e-14,2.46612579e-08,8.06569694e+00,1.00000000e+00,1.00000000e+00
65,1.52783940e-14,9.24496516e+00,8.26608951e-08,9.50812560e-23,1.30891838e-14,6.05100586e+14,1.37663135e+08,5.17018579e-13,9.51601867e-14,1.92125936e-06,1.84055643e-01,1.00000000e+00,1.00000000e+00
66,9.80541094e-15,5.96466497e+00,5.31384607e-08,3.36933651e-23,1.30956234e-14,6.08303416e+14,3.88670687e+08,2.59626715e-14,2.59899689e-14,9.64774543e-08,1.00105141e+00,1.00000000e+00,1.00000000e+00
67,1.11998619e-14,6.03499160e+00,5.85126847e-08,7.44318463e-23,1.31046422e-14,5.38845182e+14,1.76062302e+08,7.48980398e-15,2.37275706e-14,2.78320847e-08,3.16798286e+00,1.00000000e+00,1.00000000e+00
68,1.53377771e-14,6.99075367e+00,7.65564067e-08,1.95014328e-21,1.31128890e-14,4.55786626e+14,6.72406440e+06,1.71413891e-14,2.72191559e-14,6.36982045e-08,1.58792007e+00,1.00000000e+00,1.00000000e+00
69,1.80247787e-14,8.53512973e+00,9.08651665e-08,1.45746721e-22,1.31154456e-14,4.73522025e+14,8.99879292e+07,4.68404649e-13,8.51728655e-14,1.74052851e-06,1.81836080e-01,1.00000000e+00,1.00000000e+00
70,1.57817956e-14,6.94569962e+00,7.80784112e-08,7.37359569e-24,1.31180944e-14,4.40108324e+14,1.77906343e+09,3.44504816e-14,2.78038595e-14,1.28013335e-07,8.07067368e-01,1.00000000e+00,1.00000000e+00
