iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
289,3.78166934e-17,3.73799624e-02,2.45276524e-10,9.29685214e-28,5.93731937e-15,9.88451370e+14,6.38637604e+12,7.77917301e-32,3.06369562e-18,2.97398026e-25,3.93833074e+13,1.19991838e+13,1.00000000e+00
290,3.56071792e-17,2.80164824e-02,2.10801311e-10,9.29684557e-28,5.93731500e-15,7.86821169e+14,6.38637584e+12,8.71108560e-32,3.67461704e-18,3.33709426e-25,4.21832273e+13,1.19991838e+13,1.00000000e+00
291,4.19296809e-17,2.72275318e-02,2.32059933e-10,9.29683624e-28,5.93730893e-15,6.49361769e+14,6.38637572e+12,1.27650404e-31,5.08149782e-18,4.88159974e-25,3.98079260e+13,1.19991838e+13,1.00000000e+00
292,3.05290594e-17,2.59830359e-02,1.86243274e-10,9.29682273e-28,5.93730065e-15,8.51091924e+14,6.38637610e+12,7.60178036e-32,2.87572015e-18,2.90284895e-25,3.78295612e+13,1.19991838e+13,1.00000000e+00
293,2.18414248e-17,2.23105149e-02,1.43685939e-10,9.29681310e-28,5.93729506e-15,1.02147708e+15,6.38637670e+12,4.84858323e-32,1.74728420e-18,1.84906245e-25,3.60370053e+13,1.19991838e+13,1.00000000e+00
294,4.57135431e-17,2.44488964e-02,2.38311126e-10,9.29681443e-28,5.93729635e-15,5.34828297e+14,6.38637718e+12,1.43640031e-31,5.80934687e-18,5.49563691e-25,4.04437873e+13,1.19991838e+13,1.00000000e+00
295,1.55895131e-17,1.59476339e-02,1.02622515e-10,9.29681714e-28,5.93729838e-15,1.02297190e+15,6.38637750e+12,3.50202705e-32,1.26701434e-18,1.33567789e-25,3.61794561e+13,1.19991838e+13,1.00000000e+00
296,1.12999419e-17,1.17793624e-02,7.50019952e-11,9.29681873e-28,5.93729977e-15,1.04242681e+15,6.38637790e+12,2.29998012e-32,8.33637261e-19,8.77258114e-26,3.62454117e+13,1.19991838e+13,1.00000000e+00
297,1.20722509e-17,1.02525933e-02,7.35853282e-11,9.29681679e-28,5.93729893e-15,8.49269398e+14,6.38637833e+12,3.00225432e-32,1.13394052e-18,1.14640343e-25,3.77696357e+13,1.19991838e+13,1.00000000e+00
298,2.82909379e-17,1.29454275e-02,1.41352855e-10,9.29681499e-28,5.93729789e-15,4.57582126e+14,6.38637845e+12,8.13887646e-32,3.70337703e-18,3.12546858e-25,4.55023128e+13,1.19991838e+13,1.00000000e+00
299,8.48929962e-18,9.49775251e-03,5.81656621e-11,9.29681228e-28,5.93729607e-15,1.11879106e+15,6.38637836e+12,2.02451275e-32,5.95383945e-19,7.68305858e-26,2.94087525e+13,1.19991838e+13,1.00000000e+00
300,5.97297366e-18,7.04224387e-03,4.19340471e-11,9.29681010e-28,5.93729456e-15,1.17901807e+15,6.38637823e+12,1.30574876e-32,4.03398054e-19,4.96077916e-26,3.08940024e+13,1.19991838e+13,1.00000000e+00
301,6.12067154e-18,5.90705772e-03,3.92972291e-11,9.29681213e-28,5.93729563e-15,9.65099610e+14,6.38637799e+12,1.50604071e-32,5.38717006e-19,5.74233131e-26,3.57704145e+13,1.19991838e+13,1.00000000e+00
302,1.05037970e-17,6.63395558e-03,5.76091386e-11,9.29681559e-28,5.93729758e-15,6.31576905e+14,6.38637770e+12,2.98816103e-32,1.18745287e-18,1.14267276e-25,3.97385837e+13,1.19991838e+13,1.00000000e+00
303,7.12550597e-18,7.86783799e-03,4.85293051e-11,9.29681915e-28,5.93729972e-15,1.10417955e+15,6.38637756e+12,1.67372269e-32,4.93903427e-19,6.35227669e-26,2.95092748e+13,1.19991838e+13,1.00000000e+00
304,5.54124822e-18,6.51805351e-03,3.88604741e-11,9.29682450e-28,5.93730289e-15,1.17627893e+15,6.38637729e+12,1.13802485e-32,3.54408945e-19,4.32435859e-26,3.11424611e+13,1.19991838e+13,1.00000000e+00
305,8.54558820e-18,7.39729587e-03,5.24810963e-11,9.29682367e-28,5.93730220e-15,8.65627467e+14,6.38637713e+12,2.10493394e-32,8.05392075e-19,8.04054709e-26,3.82621069e+13,1.19991838e+13,1.00000000e+00
306,9.79009467e-18,8.23644320e-03,5.94558364e-11,9.29682043e-28,5.93730004e-15,8.41303734e+14,6.38637703e+12,2.52959655e-32,9.66232506e-19,9.66223622e-26,3.81970992e+13,1.19991838e+13,1.00000000e+00
307,8.43250321e-18,8.19933195e-03,5.43116501e-11,9.29681387e-28,5.93729581e-15,9.72348512e+14,6.38637698e+12,1.92347706e-32,7.08967032e-19,7.33983311e-26,3.68586164e+13,1.19991838e+13,1.00000000e+00
308,1.37598588e-17,1.01742553e-02,7.96307688e-11,9.29681180e-28,5.93729461e-15,7.39415677e+14,6.38637711e+12,3.67601163e-32,1.40513252e-18,1.40414503e-25,3.82243763e+13,1.19991838e+13,1.00000000e+00
309,1.40358862e-17,1.10097392e-02,8.29997517e-11,9.29681339e-28,5.93729589e-15,7.84399290e+14,6.38637740e+12,3.58421351e-32,1.29640108e-18,1.36701416e-25,3.61697504e+13,1.19991838e+13,1.00000000e+00
310,1.20750556e-17,1.04113398e-02,7.40411574e-11,9.29682302e-28,5.93730306e-15,8.62218790e+14,6.38637850e+12,3.18648057e-32,1.09465842e-18,1.21369523e-25,3.43532119e+13,1.19991838e+13,1.00000000e+00
311,2.28806068e-17,1.80612172e-02,1.35621069e-10,9.29683227e-28,5.93730980e-15,7.89367930e+14,6.38637939e+12,5.92534526e-32,2.30026561e-18,2.26432611e-25,3.88207861e+13,1.19991838e+13,1.00000000e+00
312,2.99912926e-17,2.26591744e-02,1.74920604e-10,9.29683663e-28,5.93731298e-15,7.55525101e+14,6.38637982e+12,7.52726918e-32,3.05160971e-18,2.88012185e-25,4.05407279e+13,1.19991838e+13,1.00000000e+00
313,2.05215722e-17,1.84169565e-02,1.27861299e-10,9.29685558e-28,5.93732737e-15,8.97443735e+14,6.38638228e+12,4.98011003e-32,1.82580505e-18,1.90009495e-25,3.66619421e+13,1.19991838e+13,1.00000000e+00
314,2.20000175e-17,1.88759561e-02,1.34637905e-10,9.29686513e-28,5.93733543e-15,8.57997320e+14,6.38638439e+12,5.42898212e-32,1.84603231e-18,2.06730625e-25,3.40032858e+13,1.19991838e+13,1.00000000e+00
315,3.19617315e-17,1.97214014e-02,1.73992949e-10,9.29687597e-28,5.93734495e-15,6.17031697e+14,6.38638719e+12,8.56080513e-32,3.59046459e-18,3.27894146e-25,4.19407349e+13,1.19991838e+13,1.00000000e+00
316,1.92068631e-17,1.68042830e-02,1.18455544e-10,9.29688827e-28,5.93735563e-15,8.74910334e+14,6.38639022e+12,4.98372241e-32,1.64107773e-18,1.89625290e-25,3.29287549e+13,1.19991838e+13,1.00000000e+00
