[MetricOpStats] ParamMass_M  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] ParamStiffness_K  (rows=14264)
  row_sum       min=-8.9407e-08  max=8.9407e-08  mean=1.38068e-08  max/|min|=1
  |row_sum|     min=2.37605e+08  max=7.92e+08  mean=5.80481e+08  max/min=3.33326
  diag          min=3.96018e+07  max=1.584e+08  mean=1.05543e+08  nonpos=0
  max_abs_entry=1.584e+08
[MetricOpStats] ParamMass_M_reprint  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] K_over_M
  |row_sum| ratio  max=1.33333e+11  mean=2.9331e+11
[RieszAutoScale] mean(diag(K))/mean(diag(M)) = 1.19992e+11
[RieszMap] alpha1=1.19992e+12  alpha2=1  mode=auto_balanced  auto_amplify=10
[MetricOpStats] Hcurl_H  (rows=14264  alpha1=1.19992e+12  alpha2=1  solver=sparse_direct)
  row_sum       min=161605  max=7.12752e+09  mean=2.37472e+09  max/|min|=44104.5
  |row_sum|     min=2.37659e+08  max=7.60272e+09  mean=2.84952e+09  max/min=31.99
  diag          min=3.96736e+07  max=3.32618e+09  mean=1.16097e+09  nonpos=0
  max_abs_entry=3.32618e+09
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=1.25181e-19 e[2]=0 e[3]=0 e[4]=0 e[5]=2.2934e-20 e[6]=4.56259e-20 e[7]=0 e[8]=0 e[9]=1.05879e-22 e[10]=4.44089e-16 e[11]=8.53572e-18 e[12]=3.05986e-15
MrHyDE vector contract check: max_primal_err=0 max_dual_err=3.05986e-15 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  39    1.476499e-17   1.449415e-07   6.429743e-11   1.000000e+00   85        40        1         0         
  40    1.334176e-17   1.258530e-07   1.213024e-10   1.000000e+00   87        41        1         0         
  41    1.271670e-17   1.460430e-07   6.127751e-11   1.000000e+00   89        42        1         0         
  42    1.178221e-17   1.261595e-07   5.772713e-11   1.000000e+00   91        43        1         0         
  43    1.154095e-17   2.513315e-07   1.811097e-10   1.000000e+00   93        44        1         0         
  44    1.009841e-17   1.145609e-07   7.657209e-11   1.000000e+00   95        45        1         0         
  45    9.365131e-18   7.661221e-08   2.457768e-11   1.000000e+00   97        46        1         0         
  46    8.554207e-18   6.529858e-08   4.452468e-11   1.000000e+00   99        47        1         0         
  47    8.272797e-18   8.940826e-08   5.911139e-11   4.850809e-01   102       48        2         0         
  48    7.985680e-18   9.172918e-08   1.337019e-10   1.000000e+00   104       49        1         0         
  49    7.762447e-18   1.222899e-07   6.890126e-11   3.985408e-01   107       50        2         0         
  50    7.151149e-18   9.228307e-08   1.527128e-10   1.000000e+00   109       51        1         0         
  51    6.891323e-18   1.071771e-07   8.705438e-11   4.440444e-01   112       52        2         0         
  52    6.605047e-18   7.853654e-08   1.481850e-10   1.000000e+00   114       53        1         0         
  53    6.345679e-18   9.441223e-08   6.589664e-11   1.000000e+00   116       54        1         0         
  54    5.731583e-18   7.837758e-08   1.001650e-10   1.000000e+00   118       55        1         0         
  55    5.643732e-18   1.613635e-07   1.061286e-10   1.000000e+00   120       56        1         0         
  56    4.861199e-18   8.043854e-08   6.791094e-11   1.000000e+00   122       57        1         0         
  57    4.456799e-18   6.069495e-08   4.571020e-11   1.000000e+00   124       58        1         0         
  58    4.245913e-18   7.546396e-08   4.333204e-11   1.000000e+00   126       59        1         0         
  59    4.155170e-18   7.370319e-08   6.514523e-11   1.000000e+00   128       60        1         0         
  60    3.926459e-18   4.902440e-08   2.535607e-11   1.000000e+00   130       61        1         0         
  61    3.795043e-18   4.671560e-08   4.432493e-11   1.000000e+00   132       62        1         0         
  62    3.761846e-18   5.881226e-08   3.130890e-11   1.000000e+00   134       63        1         0         
  63    3.601664e-18   3.802021e-08   1.706794e-11   1.000000e+00   136       64        1         0         
  64    3.443538e-18   3.689419e-08   3.220263e-11   1.000000e+00   138       65        1         0         
  65    3.373587e-18   4.846418e-08   3.322786e-11   1.000000e+00   140       66        1         0         
  66    3.267834e-18   3.925377e-08   3.347763e-11   1.000000e+00   142       67        1         0         
  67    3.124064e-18   4.786040e-08   8.047497e-11   1.000000e+00   144       68        1         0         
  68    3.028388e-18   6.177476e-08   6.167647e-11   1.000000e+00   146       69        1         0         
  69    2.876818e-18   4.479684e-08   1.997911e-11   1.000000e+00   148       70        1         0         
  70    2.644989e-18   4.094077e-08   7.817540e-11   1.000000e+00   150       71        1         0         
  71    2.558646e-18   6.243960e-08   7.639316e-11   1.000000e+00   152       72        1         0         
