iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
70,3.20525327e-14,6.33133673e+00,1.05977058e-07,1.64811766e-22,1.11583552e-14,1.97529998e+14,6.77036324e+07,6.43043624e-15,4.02940206e-14,1.59355568e-08,6.26614107e+00,1.00000000e+00,1.00000000e+00
71,4.35991360e-14,7.25865770e+00,1.38457768e-07,5.50574905e-23,1.11634488e-14,1.66486274e+14,2.02759856e+08,4.68520226e-14,4.15471648e-14,1.16106193e-07,8.86774200e-01,1.00000000e+00,1.00000000e+00
72,4.79339995e-14,7.62673108e+00,1.50735685e-07,6.47386843e-24,1.11839232e-14,1.59109007e+14,1.72754874e+09,1.53219963e-14,3.86949598e-14,3.79701959e-08,2.52545158e+00,1.00000000e+00,1.00000000e+00
73,6.74720926e-14,1.03094217e+01,2.10383251e-07,5.06943330e-23,1.11947783e-14,1.52795346e+14,2.20828989e+08,1.09571350e-15,4.38759729e-14,2.71531673e-09,4.00432895e+01,1.00000000e+00,1.00000000e+00
74,6.51357526e-14,1.04015321e+01,2.04988480e-07,3.91260465e-23,1.12030662e-14,1.59690058e+14,2.86332692e+08,1.34460639e-14,5.22608245e-14,3.33212806e-08,3.88670059e+00,1.00000000e+00,1.00000000e+00
75,6.29731596e-14,1.18699554e+01,2.05816295e-07,6.52932953e-23,1.12076349e-14,1.88492295e+14,1.71650625e+08,1.06123281e-14,8.55484447e-14,2.62988869e-08,8.06123256e+00,1.00000000e+00,1.00000000e+00
76,3.73672428e-14,6.93506002e+00,1.21671889e-07,1.07199536e-23,1.12044301e-14,1.85591965e+14,1.04519390e+09,1.73805636e-14,3.78700897e-14,4.30716152e-08,2.17887582e+00,1.00000000e+00,1.00000000e+00
77,3.34017967e-14,6.35288032e+00,1.09407159e-07,1.65155151e-23,1.11981836e-14,1.90195766e+14,6.78040225e+08,2.35400056e-15,2.82884129e-14,5.83353682e-09,1.20171649e+01,1.00000000e+00,1.00000000e+00
78,1.95526342e-14,4.18790813e+00,6.60186456e-08,3.02751215e-23,1.11967453e-14,2.14186390e+14,3.69833206e+08,3.63891921e-15,1.63306763e-14,9.01776111e-09,4.48778205e+00,1.00000000e+00,1.00000000e+00
79,7.44812913e-15,2.38639791e+00,2.84778819e-08,1.58803181e-22,1.12030060e-14,3.20402328e+14,7.05464834e+07,6.76225894e-15,7.87301199e-15,1.67578968e-08,1.16425769e+00,1.00000000e+00,1.00000000e+00
80,7.00214380e-15,2.57275490e+00,2.81583989e-08,4.77320658e-23,1.12080418e-14,3.67423888e+14,2.34811580e+08,3.97045114e-14,1.16084432e-14,9.83933109e-08,2.92370886e-01,1.00000000e+00,1.00000000e+00
81,5.28670979e-15,2.24411882e+00,2.25295513e-08,1.11936374e-23,1.12237447e-14,4.24483074e+14,1.00268968e+09,1.11885782e-14,6.89323429e-15,2.77269020e-08,6.16095643e-01,1.00000000e+00,1.00000000e+00
82,5.78589844e-15,2.33107691e+00,2.41310284e-08,7.89935060e-23,1.12285488e-14,4.02889358e+14,1.42145214e+08,2.55956516e-15,3.37509159e-15,6.34297384e-09,1.31861913e+00,1.00000000e+00,1.00000000e+00
83,7.06366293e-15,2.56766915e+00,2.82892541e-08,1.89255691e-23,1.12313314e-14,3.63503917e+14,5.93447485e+08,2.21504563e-14,5.16328059e-15,5.48916882e-08,2.33100417e-01,1.00000000e+00,1.00000000e+00
84,6.67562240e-15,2.47925199e+00,2.69567277e-08,3.56430562e-24,1.12359885e-14,3.71388890e+14,3.15236393e+09,4.87875656e-15,3.51281568e-15,1.20901828e-08,7.20022744e-01,1.00000000e+00,1.00000000e+00
85,6.94804375e-15,2.50599889e+00,2.77435416e-08,1.12699087e-23,1.12420838e-14,3.60676901e+14,9.97531037e+08,4.60810232e-16,3.13522493e-15,1.14194716e-09,6.80372247e+00,1.00000000e+00,1.00000000e+00
86,7.50121500e-15,2.61415961e+00,2.95678624e-08,2.23395496e-23,1.12517266e-14,3.48498158e+14,5.03668462e+08,2.68398650e-15,3.51825937e-15,6.65126266e-09,1.31083348e+00,1.00000000e+00,1.00000000e+00
87,6.73774049e-15,2.54402121e+00,2.73830677e-08,1.67452066e-23,1.12527799e-14,3.77577797e+14,6.72000064e+08,5.83801936e-15,3.19507502e-15,1.44673562e-08,5.47287499e-01,1.00000000e+00,1.00000000e+00
88,7.09681811e-15,2.62579281e+00,2.86159414e-08,3.48965396e-24,1.12575251e-14,3.69995789e+14,3.22597174e+09,4.25689579e-15,4.25809190e-15,1.05491420e-08,1.00028098e+00,1.00000000e+00,1.00000000e+00
89,1.04316172e-14,3.15389130e+00,3.90922059e-08,1.54746459e-22,1.12540597e-14,3.02339630e+14,7.27257979e+07,3.86311250e-16,1.02023010e-14,9.57336550e-10,2.64095365e+01,1.00000000e+00,1.00000000e+00
90,1.52965596e-14,4.18050278e+00,5.54536937e-08,6.55242688e-23,1.12413569e-14,2.73296930e+14,1.71560204e+08,3.75705391e-14,2.72996594e-14,9.31048379e-08,7.26624106e-01,1.00000000e+00,1.00000000e+00
91,1.17237673e-14,2.73493493e+00,4.05269930e-08,1.36313550e-23,1.12292177e-14,2.33281236e+14,8.23778544e+08,1.57930502e-14,9.17109387e-15,3.91372807e-08,5.80704408e-01,1.00000000e+00,1.00000000e+00
92,1.04664314e-14,2.44066740e+00,3.61765868e-08,1.09489846e-23,1.12219543e-14,2.33190026e+14,1.02493106e+09,3.23042378e-15,8.61968281e-15,8.00539663e-09,2.66828237e+00,1.00000000e+00,1.00000000e+00
93,9.72723406e-15,2.37989134e+00,3.40912820e-08,4.46651686e-24,1.12171075e-14,2.44662699e+14,2.51137694e+09,2.32981911e-15,1.05829498e-14,5.77359021e-09,4.54239119e+00,1.00000000e+00,1.00000000e+00
94,8.70598322e-15,2.08802487e+00,3.03352919e-08,3.71096479e-24,1.12115348e-14,2.39837916e+14,3.02119136e+09,7.12354203e-16,8.04831129e-15,1.76530609e-09,1.12981874e+01,1.00000000e+00,1.00000000e+00
95,7.80260089e-15,1.81689052e+00,2.69582828e-08,3.71096479e-24,1.12115348e-14,2.32857036e+14,3.02119136e+09,5.13302569e-16,6.30396791e-15,1.27204036e-09,1.22811930e+01,1.00000000e+00,1.00000000e+00
